"year","state","county","industry_sector","chemical","total_releases","fugitive_air","stack_air","water","onsite_total","air_releases"
2024,"PA","YORK","Primary Metals","Manganese",2984.79,0,103.48,0,103.48,103.48
2024,"OK","ROGERS","Fabricated Metals","Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region)",13460,5,250,0,255,255
2024,"FL","LAKE","Wood Products","Lead",0.32,0.32,0,0,0.32,0.32
2024,"FL","BROWARD","Electric Utilities","Ammonia",49799.9,0,49799,0.9,49799.9,49799
2024,"TX","TARRANT","Fabricated Metals","Barium compounds (except for barium sulfate (CAS No. 7727-43-7))",36.829,0.039,0,36.46,36.499,0.039
2024,"WA","STEVENS","Wood Products","Lead  And Lead Compounds",183.9,0,3.3,0,3.3,3.3
2024,"PA","NORTHAMPTON","Primary Metals","Nickel compounds",200,5,1,0,6,6
2024,"TX","HARRIS","Petroleum","Vanadium (except when contained in an alloy)",3,0,0,0,0,0
2024,"OR","WASHINGTON","Computers and Electronic Products","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",3205,5,3200,0,3205,3205
2024,"TX","PARKER","Wood Products","3-Iodo-2-propynyl butylcarbamate",10,5,5,0,10,10
2024,"LA","RAPIDES PARISH","Electric Utilities","Zinc compounds",1496,1,434,81,1496,435
2024,"HI","HONOLULU","Petroleum Bulk Terminals","Cumene",95,1,89,5,95,90
2024,"FL","LEE","Petroleum Bulk Terminals","Xylene (mixed isomers)",0,0,0,0,0,0
2024,"IN","TIPPECANOE","Chemicals","Cyclohexane",358,349,9,0,358,358
2024,"ID","ADA","Computers and Electronic Products","Fluorine",250,0,250,0,250,250
2024,"IL","COOK","Machinery","Cobalt",3,3,0,0,3,3
2024,"NY","QUEENS","Electric Utilities","Ammonia",20256.3,119.7,20136.6,0,20256.3,20256.3
2024,"MD","HARFORD","Petroleum Bulk Terminals","Ethylene glycol",5.496,3.101,2.395,0,5.496,5.496
2024,"OK","CREEK","Fabricated Metals","Manganese",293,293,0,0,293,293
2024,"WV","JEFFERSON","Machinery","Diisocyanates",0,0,0,0,0,0
2024,"NC","DURHAM","Chemical Wholesalers","Ethylene glycol",0,0,0,0,0,0
2024,"OH","WAYNE","Chemicals","Zinc compounds",848.25,0.75,7.5,0.75,9,8.25
2024,"MN","ANOKA","Fabricated Metals","Chromium",0,0,0,0,0,0
2024,"TX","DEWITT","Natural Gas Processing","Cyclohexane",5750,250,250,0,500,500
2024,"NH","ROCKINGHAM","Petroleum Bulk Terminals","Benzo[g,h,i]perylene",0,0,0,0,0,0
2024,"MS","WARREN","Paper","Methanol",1687469,177953,818022,691493,1687469,995975
2024,"OK","TULSA","Fabricated Metals","Nickel",0.11,0.11,0,0,0.11,0.11
2024,"NC","MITCHELL","Primary Metals","Styrene",1767.5,648.5,1119,0,1767.5,1767.5
2024,"MO","FRANKLIN","Chemicals","Cyclohexane",1073,1073,0,0,1073,1073
2024,"OH","LICKING","Primary Metals","Copper  And Copper Compounds",202,5,19,4,28,24
2024,"GA","GWINNETT","Petroleum","Polycyclic aromatic compounds",0.15,0,0.15,0,0.15,0.15
2024,"TX","HARRIS","Chemicals","Propylene oxide",31.2,31,0.2,0,31.2,31.2
2024,"ID","NEZ PERCE","Fabricated Metals","Cyanide compounds",500,0,0,0,0,0
2024,"IN","KOSCIUSKO","Miscellaneous Manufacturing","Chromium",0,0,0,0,0,0
2024,"WA","SNOHOMISH","Chemicals","Dichloromethane",24816,32,510,0,542,542
2024,"MO","ST LOUIS (CITY)","Chemical Wholesalers","n-Butyl alcohol",0,0,0,0,0,0
2024,"KS","SEDGWICK","Transportation Equipment","Manganese",0,0,0,0,0,0
2024,"TX","VICTORIA","Petroleum Bulk Terminals","n-Hexane",0,0,0,0,0,0
2024,"NV","HUMBOLDT","Electric Utilities","Lead compounds",558.1,0,557,0,558.1,557
2024,"TN","LOUDON","Plastics and Rubber","Styrene",73004,73004,0,0,73004,73004
2024,"CA","LOS ANGELES","Petroleum","Certain glycol ethers",1106,0,6,1100,1106,6
2024,"MN","WASECA","Chemicals","n-Hexane",6571.05,243.02,6322.07,0,6571.05,6565.09
2024,"GA","BARTOW","Chemicals","Certain glycol ethers",20,20,0,0,20,20
2024,"FL","ESCAMBIA","Chemicals","Phthalic anhydride",63,17,46,0,63,63
2024,"CA","PLACER","Chemicals","Vinyl acetate",3428.28,0,2573,0,2573,2573
2024,"GA","FULTON","Wood Products","Chlorothalonil",0,0,0,0,0,0
2024,"AL","MONTGOMERY","Fabricated Metals","Nickel  And Nickel Compounds",1312.803,0,0,0,0,0
2024,"AR","FAULKNER","Fabricated Metals","Chromium",69,2,0,0,2,2
2024,"WI","MILWAUKEE","Fabricated Metals","Diisocyanates",0,0,0,0,0,0
2024,"KY","JEFFERSON","Chemicals","Zinc compounds",1155.79,771.79,0,0.48,772.27,771.79
2024,"LA","ASCENSION PARISH","Chemicals","Zinc compounds",114399,223,1509,0,1732,1732
2024,"TX","JEFFERSON","Petroleum","Ethylene glycol",1,1,0,0,1,1
2024,"OH","TRUMBULL","Fabricated Metals","Certain glycol ethers",1905,1900,5,0,1905,1905
2024,"MN","GOODHUE","Furniture","Lead",0,0,0,0,0,0
2024,"OH","LORAIN","Hazardous Waste","2-Phenylphenol",0.015,0.002,0,0,0.002,0.002
2024,"IA","ALLAMAKEE","Plastics and Rubber","Phenol",163988,1,163987,0,163988,163988
2024,"KY","SIMPSON","Printing","Chromium",5,0,0,0,0,0
2024,"PA","MIFFLIN","Primary Metals","Propylene",0,0,0,0,0,0
2024,"IN","NOBLE","Transportation Equipment","Chromium",81.5,10,10,0,20,20
2024,"OK","ROGERS","Electric Utilities","Dioxin and dioxin-like compounds",0.3,0,0.3,0,0.3,0.3
2024,"WI","FOND DU LAC","Fabricated Metals","Copper",0,0,0,0,0,0
2024,"TX","JEFFERSON","Chemicals","Ethylbenzene",1022.444,633,387,0,1020,1020
2024,"IN","LAKE","Hazardous Waste","N,N-Dimethylformamide",262.04,12.57,0,0,12.57,12.57
2024,"PR","GUAYNABO MUNICIPIO","Petroleum","Polycyclic aromatic compounds",6551,0,6551,0,6551,6551
2024,"VA","MONTGOMERY","Other","Lead compounds",936.7,826,82,28.7,936.7,908
2024,"IN","ELKHART","Furniture","Ethylbenzene",1028.08,0,1028.08,0,1028.08,1028.08
2024,"OH","WAYNE","Food","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",4100,0,0,0,0,0
2024,"MN","CARLTON","Paper","Polycyclic aromatic compounds",145.306,0,134,0,134,134
2024,"VA","ISLE OF WIGHT","Paper","Acetaldehyde",28242.41,6916.6,20935.3,387.3,28239.2,27851.9
2024,"OK","GRADY","Chemical Wholesalers","Toluene",0,0,0,0,0,0
2024,"GA","DEKALB","Petroleum Bulk Terminals","Cumene",14.88,10.67,4.21,0,14.88,14.88
2024,"WI","MILWAUKEE","Leather","Certain glycol ethers",29662,0,29662,0,29662,29662
2024,"RI","WASHINGTON","Transportation Equipment","Manganese",11,11,0,0,11,11
2024,"IN","LAKE","Plastics and Rubber","Lead  And Lead Compounds",0.62,0,0,0,0.62,0
2024,"MA","HAMPDEN","Fabricated Metals","Sodium nitrite",8576,0,0,0,0,0
2024,"NE","BUFFALO","Chemicals","n-Hexane",11047,308,10739,0,11047,11047
2024,"IN","HUNTINGTON","Petroleum Bulk Terminals","Xylene (mixed isomers)",806,193,76,537,806,269
2024,"OH","COLUMBIANA","Hazardous Waste","Perfluorooctanoic acid",0,0,0,0,0,0
2024,"WI","MARATHON","Chemicals","Methanol",0,0,0,0,0,0
2024,"TX","ATASCOSA","Chemicals","Ethylene glycol",0,0,0,0,0,0
2024,"PA","CUMBERLAND","Petroleum","Benzo[g,h,i]perylene",0.014,0.002,0.012,0,0.014,0.014
2024,"SC","ANDERSON","Transportation Equipment","1,2,4-Trimethylbenzene",2025,0,2025,0,2025,2025
2024,"NY","QUEENS","Electric Utilities","Polycyclic aromatic compounds",59.044,0.676,32.44,0,33.116,33.116
2024,"TX","HOWARD","Petroleum","1,2,4-Trimethylbenzene",2812.7,114.2,2698.5,0,2812.7,2812.7
2024,"TX","HARRIS","Chemicals","n-Hexane",117040.4,44013,72527,0,116540,116540
2024,"NM","GRANT","Metal Mining","Manganese",0,0,0,0,0,0
2024,"NJ","MORRIS","Other","Dichloromethane",60,5,5,0,10,10
2024,"SC","YORK","Plastics and Rubber","Copper",0.13,0,0,0.13,0.13,0
2024,"MI","OTTAWA","Food","Nitric acid",0,0,0,0,0,0
2024,"AK","KENAI PENINSULA BOROUGH","Petroleum Bulk Terminals","Ethylbenzene",12.6,3.9,8.7,0,12.6,12.6
2024,"OK","TULSA","Chemicals","Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",6206,6206,0,0,6206,6206
2024,"GA","FORSYTH","Nonmetallic Mineral Product","Lead",0.11,0.01,0.1,0,0.11,0.11
2024,"MI","GRATIOT","Primary Metals","Lead  And Lead Compounds",1.75,0,0.33,0,0.33,0.33
2024,"WV","BROOKE","Fabricated Metals","Ammonia",0,0,0,0,0,0
2024,"LA","CADDO PARISH","Chemicals","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",379390,0,0,0,362001,0
2024,"OK","MUSKOGEE","Petroleum","Lead",0,0,0,0,0,0
2024,"LA","OUACHITA PARISH","Paper","Ammonia",281500,182300,86500,12700,281500,268800
2024,"SC","RICHLAND","Chemicals","Peracetic acid",0,0,0,0,0,0
2024,"IA","LINN","Electric Utilities","Vanadium compounds",26567,0,9,0,9,9
2024,"CA","LOS ANGELES","Petroleum Bulk Terminals","Anthracene",0,0,0,0,0,0
2024,"NC","GASTON","Nonmetallic Mineral Product","Lead  And Lead Compounds",1.26,0,1.26,0,1.26,1.26
2024,"KY","BULLITT","Transportation Equipment","Diisocyanates",956,15,0,0,15,15
2024,"OH","LOGAN","Transportation Equipment","1,2,4-Trimethylbenzene",61634,780,60000,0,60780,60780
2024,"NC","FRANKLIN","Chemicals","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",5704,0,0,1851,4341,0
2024,"ME","AROOSTOOK","Food","Chromium",0,0,0,0,0,0
2024,"UT","DAVIS","Petroleum","Anthracene",0,0,0,0,0,0
2024,"KY","FLEMING","Food","Manganese compounds",0,0,0,0,0,0
2024,"VA","AUGUSTA","Fabricated Metals","Chromium compounds (except for chromite ore mined in the Transvaal Region)",6438.46,0,0,0,0,0
2024,"SC","RICHLAND","Fabricated Metals","Chromium",0,0,0,0,0,0
2024,"PA","CHESTER","Primary Metals","Copper  And Copper Compounds",7392,2,71,155,7313,73
2024,"PA","MERCER","Machinery","Nickel",9,0,0,0,0,0
2024,"KS","WYANDOTTE","Petroleum","Polycyclic aromatic compounds",0,0,0,0,0,0
2024,"PR","GUAYAMA MUNICIPIO","Electric Utilities","Manganese  And Manganese Compounds",370934,44,890,0,934,934
2024,"SC","CHESTERFIELD","Primary Metals","Copper",100222.965,0,9,0.035,9.035,9
2024,"CO","WELD","Chemicals","n-Hexane",4974,534,4440,0,4974,4974
2024,"FL","VOLUSIA","Chemicals","Sodium nitrite",0,0,0,0,0,0
2024,"TX","BRAZORIA","Chemicals","1,2,4-Trimethylbenzene",0,0,0,0,0,0
2024,"TN","RUTHERFORD","Fabricated Metals","Lead",0,0,0,0,0,0
2024,"TN","HENRY","Transportation Equipment","Styrene",15311.61,15311.61,0,0,15311.61,15311.61
2024,"PA","NORTHUMBERLAND","Transportation Equipment","Styrene",13280,3320,9960,0,13280,13280
2024,"NC","DURHAM","Miscellaneous Manufacturing","Diisocyanates",0,0,0,0,0,0
2024,"SD","CODINGTON","Fabricated Metals","Nitric acid",0,0,0,0,0,0
2024,"AL","CHEROKEE","Chemicals","Lead",0.07,0,0.07,0,0.07,0.07
2024,"SC","GREENVILLE","Fabricated Metals","Nickel",4,4,0,0,4,4
2024,"AL","MOBILE","Primary Metals","Mercury",306.3,0,306,0,306,306
2024,"MN","STEARNS","Primary Metals","Diisocyanates",0,0,0,0,0,0
2024,"TX","BEXAR","Nonmetallic Mineral Product","Mercury  And Mercury Compounds",31.292,0.011,31.281,0,31.292,31.292
2024,"NV","NYE","Hazardous Waste","Polycyclic aromatic compounds",124042.53,4.36,1.17,0,124042.53,5.53
