"effect_size","sample_size","noise","mean_diff"
0.888888888888889,150,"1",0.736495740458589
0.888888888888889,150,"2",0.803843628049866
0.888888888888889,200,"0.5",0.818282808489435
0.888888888888889,200,"1",0.888113567849861
0.888888888888889,200,"2",0.955137737348689
0.888888888888889,250,"0.5",0.839402988408034
0.888888888888889,250,"1",1.02009692115027
0.888888888888889,250,"2",1.12858535545669
0.888888888888889,300,"0.5",0.905438985551354
0.888888888888889,300,"1",0.882082397259682
0.888888888888889,300,"2",0.621962861034565
0.888888888888889,350,"0.5",0.805364106337969
0.888888888888889,350,"1",0.911559770443213
0.888888888888889,350,"2",0.724615729314464
0.888888888888889,400,"0.5",0.913679672073531
0.888888888888889,400,"1",0.854509978645022
0.888888888888889,400,"2",0.916680184100571
0.888888888888889,450,"0.5",0.929804881505858
0.888888888888889,450,"1",0.920759552605896
0.888888888888889,450,"2",1.08997959464318
0.888888888888889,500,"0.5",0.893605081666368
0.888888888888889,500,"1",0.840030716470971
0.888888888888889,500,"2",1.20737389405757
1.11111111111111,50,"0.5",1.20010351103041
1.11111111111111,50,"1",1.00752926893552
1.11111111111111,50,"2",1.67861613084546
1.11111111111111,100,"0.5",1.17289888365862
1.11111111111111,100,"1",1.11253838102746
1.11111111111111,100,"2",1.14332089709715
1.11111111111111,150,"0.5",1.16367924441387
1.11111111111111,150,"1",0.930963905439421
1.11111111111111,150,"2",1.11698513002658
1.11111111111111,200,"0.5",1.10663975976652
1.11111111111111,200,"1",1.13599805180949
1.11111111111111,200,"2",1.53626071119447
1.11111111111111,250,"0.5",1.10626618024332
1.11111111111111,250,"1",1.39446172237804
1.11111111111111,250,"2",1.18431537088378
1.11111111111111,300,"0.5",1.06489659013628
1.11111111111111,300,"1",1.09544369393009
1.11111111111111,300,"2",1.11326683116392
1.11111111111111,350,"0.5",1.13416846103241
1.11111111111111,350,"1",1.05315973346174
1.11111111111111,350,"2",1.19177852827504
1.11111111111111,400,"0.5",1.09756862179186
1.11111111111111,400,"1",1.16694478104255
1.11111111111111,400,"2",1.04875417655503
1.11111111111111,450,"0.5",1.12708835835903
1.11111111111111,450,"1",1.19247282316838
1.11111111111111,450,"2",0.956529905184171
1.11111111111111,500,"0.5",1.08951128943082
1.11111111111111,500,"1",1.07658811942212
1.11111111111111,500,"2",1.05037012843193
1.33333333333333,50,"0.5",1.41413974647333
1.33333333333333,50,"1",1.52293356414672
1.33333333333333,50,"2",0.876343199787401
1.33333333333333,100,"0.5",1.34628419316235
1.33333333333333,100,"1",1.48294936033362
1.33333333333333,100,"2",1.12493053024016
1.33333333333333,150,"0.5",1.36274930356
1.33333333333333,150,"1",1.25134321228921
1.33333333333333,150,"2",1.53666182025126
1.33333333333333,200,"0.5",1.33613424965577
1.33333333333333,200,"1",1.3463053945635
1.33333333333333,200,"2",1.24180746800011
1.33333333333333,250,"0.5",1.40901677843309
1.33333333333333,250,"1",1.51491643196973
1.33333333333333,250,"2",1.0510435452562
1.33333333333333,300,"0.5",1.31193560029889
1.33333333333333,300,"1",1.30292897604425
1.33333333333333,300,"2",1.35598411934974
1.33333333333333,350,"0.5",1.29964969970886
1.33333333333333,350,"1",1.23637130937513
1.33333333333333,350,"2",1.39712781231263
1.33333333333333,400,"0.5",1.36728289737979
1.33333333333333,400,"1",1.30318435501314
1.33333333333333,400,"2",1.27215002129093
1.33333333333333,450,"0.5",1.34127578811754
1.33333333333333,450,"1",1.26652396692983
